title,link,citation_id,authors,publication,year,cited_by.value,cited_by.link,cited_by.serpapi_link,cited_by.cites_id
Edge Computing in Educational Technology: The Power of Edge AI for Dynamic and Personalized Learning,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=U4Hi0MkAAAAJ&pagesize=100&citation_for_view=U4Hi0MkAAAAJ:TQgYirikUcIC,U4Hi0MkAAAAJ:TQgYirikUcIC,"G Shidaganti, VA Raj, VRM Raman, S Kumaran","Edge of Intelligence: Exploring the Frontiers of AI at the Edge, 121-152, 2025",2025,,,,
KNN for Exploratory Drug Risk Analysis and Patient Well-Being: Enhanced,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=U4Hi0MkAAAAJ&pagesize=100&citation_for_view=U4Hi0MkAAAAJ:mB3voiENLucC,U4Hi0MkAAAAJ:mB3voiENLucC,"VA Raj, VRM Raman, G Shidaganti","Proceedings of Fifth Doctoral Symposium on Computational Intelligence: DoSCI …, 2025",2025,,,,
Improving Students' Understanding of Education Using Generative Adversarial Networks: Bridging Text and Visuals,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=U4Hi0MkAAAAJ&pagesize=100&citation_for_view=U4Hi0MkAAAAJ:-f6ydRqryjwC,U4Hi0MkAAAAJ:-f6ydRqryjwC,"GI Shidhaganti, KN Kavyashree, D Vishwachetan","2024 8th International Conference on Computational System and Information …, 2024",2024,,,,
and Applications,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=U4Hi0MkAAAAJ&pagesize=100&citation_for_view=U4Hi0MkAAAAJ:hFOr9nPyWt4C,U4Hi0MkAAAAJ:hFOr9nPyWt4C,"KN Kavyashree, G Shidaganti","Power Engineering and Intelligent Systems: Proceedings of PEIS 2024, Volume …, 2024",2024,,,,
Exploratory analysis on the natural language processing models for task specific purposes,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=U4Hi0MkAAAAJ&pagesize=100&citation_for_view=U4Hi0MkAAAAJ:mVmsd5A6BfQC,U4Hi0MkAAAAJ:mVmsd5A6BfQC,"G Shidaganti, R Shetty, T Edara, P Srinivas, SC Tammineni","Bulletin of Electrical Engineering and Informatics 13 (2), 1245-1255, 2024",2024,,,,
Empowering Rural Minds: Leveraging Predictive Analytics to Bridge Urban-Rural Educational Disparities Through Financial Assistance,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=U4Hi0MkAAAAJ&pagesize=100&citation_for_view=U4Hi0MkAAAAJ:9ZlFYXVOiuMC,U4Hi0MkAAAAJ:9ZlFYXVOiuMC,"G Shidaganti, P Harebailu, KK Kumar, A Mohammad","2023 2nd International Conference on Futuristic Technologies (INCOFT), 2024",2024,,,,
Cloud-Based Real-Time Sign Language Detection and Voice Synthesis for Impaired Individuals Using Machine Learning,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=U4Hi0MkAAAAJ&pagesize=100&citation_for_view=U4Hi0MkAAAAJ:dhFuZR0502QC,U4Hi0MkAAAAJ:dhFuZR0502QC,"VR Monish Raman, G Shidaganti, V Aditya Raj, SG Shibu, R Ismail","International Conference on Cognitive Computing and Information Processing …, 2023",2023,,,,
Unlocking the Mysteries of Speech: A Hybrid RNN-CNN Model for Vocal Language Identification,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=U4Hi0MkAAAAJ&pagesize=100&citation_for_view=U4Hi0MkAAAAJ:4DMP91E08xMC,U4Hi0MkAAAAJ:4DMP91E08xMC,"G Shidaganti, P Harebailu, M Akmal","2023 IEEE International Conference on Distributed Computing, VLSI …, 2023",2023,,,,
KNN for Exploratory Drug Risk Analysis and Patient Well-Being: Enhanced Healthcare,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=U4Hi0MkAAAAJ&pagesize=100&citation_for_view=U4Hi0MkAAAAJ:HDshCWvjkbEC,U4Hi0MkAAAAJ:HDshCWvjkbEC,"VA Raj, VRM Raman, G Shidaganti","Doctoral Symposium on Computational Intelligence, 13-24, 2023",2023,,,,
Assessing Student Engagement in Classroom Environment Using Computer Vision and Machine Learning Techniques: Case Study,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=U4Hi0MkAAAAJ&pagesize=100&citation_for_view=U4Hi0MkAAAAJ:5nxA0vEk-isC,U4Hi0MkAAAAJ:5nxA0vEk-isC,"G Shidaganti, R Shetty, T Edara, P Srinivas, SC Tammineni","International Conference on Innovative Computing and Communications …, 2022",2022,,,,
Improvisation Of The Nature-Inspired Meta-Heuristic Algorithm For Optimized Clustering.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=U4Hi0MkAAAAJ&pagesize=100&citation_for_view=U4Hi0MkAAAAJ:MXK_kJrjxJIC,U4Hi0MkAAAAJ:MXK_kJrjxJIC,"S BJ, GS Sidaganti, A Kanavalli, SA Preetham, S Rao, S Kini","Webology 19 (2), 2022",2022,,,,
A Case Study on Distributed Consensus Problem on Cloud-Based Systems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=U4Hi0MkAAAAJ&pagesize=100&citation_for_view=U4Hi0MkAAAAJ:W7OEmFMy1HYC,U4Hi0MkAAAAJ:W7OEmFMy1HYC,"G Shidaganti, R Pravakar, M Shirisha, HR Samyuktha","Evolutionary Computing and Mobile Sustainable Networks: Proceedings of …, 2020",2020,,,,
Novel Framework for Quality Retention on Educational Big Data,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=U4Hi0MkAAAAJ&pagesize=100&citation_for_view=U4Hi0MkAAAAJ:eQOLeE2rZwMC,U4Hi0MkAAAAJ:eQOLeE2rZwMC,"G Shidaganti, P Sheelvanthmath","Journal of Computational and Theoretical Nanoscience 17 (9-10), 4248-4254, 2020",2020,,,,
An Insightful Review on Educational Big Data Analytics in Cloud-based e-Learning System,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=U4Hi0MkAAAAJ&pagesize=100&citation_for_view=U4Hi0MkAAAAJ:Tyk-4Ss8FVUC,U4Hi0MkAAAAJ:Tyk-4Ss8FVUC,"AK G Shidaganti, Prakash S, Srinivasa K G","International Journal of Advanced Science and Technology 28 (16), 332-344, 2019",2019,,,,
An Empirical study on Massive Open Online Courses(MOOCs),https://scholar.google.com/citations?view_op=view_citation&hl=en&user=U4Hi0MkAAAAJ&pagesize=100&citation_for_view=U4Hi0MkAAAAJ:YOwf2qJgpHMC,U4Hi0MkAAAAJ:YOwf2qJgpHMC,"PS Ganeshayya Shidaganti, Alex Loukham","International Journal of Computer Sciences and Engineering 6 (Issue.5 ,), pp …, 2018",2018,,,,
Energy Efficient Homogenous Clustering and Cluster Head Selection Algorithm for WSN,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=U4Hi0MkAAAAJ&pagesize=100&citation_for_view=U4Hi0MkAAAAJ:_FxGoFyzp5QC,U4Hi0MkAAAAJ:_FxGoFyzp5QC,"GI Shidaganti, MR Mundada, T Bhuvaneswari, V CyrilRaj","IJECCE 4 (1), 70-74, 2013",2013,,,,
