title,link,citation_id,authors,publication,year,cited_by.value,cited_by.link,cited_by.serpapi_link,cited_by.cites_id
Applications of game theory for cyber security system: A survey,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S0rWhnMAAAAJ&pagesize=100&citation_for_view=S0rWhnMAAAAJ:OR75R8vi5nAC,S0rWhnMAAAAJ:OR75R8vi5nAC,"AP Patil, S Bharath, NM Annigeri","International Journal of Applied Engineering Research 13 (17), 12987-12990, 2018",2018,13,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15203225585676502286,https://serpapi.com/search.json?cites=15203225585676502286&engine=google_scholar&hl=en,15203225585676502286
Depletion of soil moisture by young mango trees with and without irrigation.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S0rWhnMAAAAJ&pagesize=100&citation_for_view=S0rWhnMAAAAJ:1Ye0OR6EYb4C,S0rWhnMAAAAJ:1Ye0OR6EYb4C,"K Purushotham, B Narasimham",,1981,13,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16670218140894288008,https://serpapi.com/search.json?cites=16670218140894288008&engine=google_scholar&hl=en,16670218140894288008
Randomized gossip algorithm based RSU distribution for VANETs leveraging fog computing,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S0rWhnMAAAAJ&pagesize=100&citation_for_view=S0rWhnMAAAAJ:-_dYPAW6P2MC,S0rWhnMAAAAJ:-_dYPAW6P2MC,"RR Subramanian, K Seshadri","2019 IEEE International conference on clean energy and energy efficient …, 2019",2019,12,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14556714161551010193,https://serpapi.com/search.json?cites=14556714161551010193&engine=google_scholar&hl=en,14556714161551010193
Design and implementation of combined energy metricaodv (cem_aodv) routing protocol for manets,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S0rWhnMAAAAJ&pagesize=100&citation_for_view=S0rWhnMAAAAJ:OTTXONDVkokC,S0rWhnMAAAAJ:OTTXONDVkokC,"AP Patil, B Sharanya, MPD Kumar","International Journal of Computer and Electrical Engineering 5 (1), 9, 2013",2013,12,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13341110694665643310,https://serpapi.com/search.json?cites=13341110694665643310&engine=google_scholar&hl=en,13341110694665643310
Application of principal component and cluster analyses in brinjal (Solanum melongena L.),https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S0rWhnMAAAAJ&pagesize=100&citation_for_view=S0rWhnMAAAAJ:kw52XkFRtyQC,S0rWhnMAAAAJ:kw52XkFRtyQC,"RR Lakshmi, K Purushotham, LN Naidu, SSV Padma","Plant Archives, 2013",2013,12,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2230943883368984264,https://serpapi.com/search.json?cites=2230943883368984264&engine=google_scholar&hl=en,2230943883368984264
Statistical data mining approach with asymmetric conditionally volatility model in financial time series data,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S0rWhnMAAAAJ&pagesize=100&citation_for_view=S0rWhnMAAAAJ:eMMeJKvmdy0C,S0rWhnMAAAAJ:eMMeJKvmdy0C,"V Ilango, R Subramanian, V Vasudevan","International Journal of Soft Computing 8 (4), 252-260, 2013",2013,12,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4187096479353062469,https://serpapi.com/search.json?cites=4187096479353062469&engine=google_scholar&hl=en,4187096479353062469
Effect of post-harvest application of growth regulators on storage behaviour of papaya (Carica papaya L.) Cv. 'Co-2'.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S0rWhnMAAAAJ&pagesize=100&citation_for_view=S0rWhnMAAAAJ:tuHXwOkdijsC,S0rWhnMAAAAJ:tuHXwOkdijsC,"M Ramakrishna, K Haribabu, K Purushotham",,2002,12,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2632416396641891984,https://serpapi.com/search.json?cites=2632416396641891984&engine=google_scholar&hl=en,2632416396641891984
Duck pack optimization with deep transfer learning-enabled Oral squamous cell carcinoma classification on histopathological images,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S0rWhnMAAAAJ&pagesize=100&citation_for_view=S0rWhnMAAAAJ:SjuI4pbJlxcC,S0rWhnMAAAAJ:SjuI4pbJlxcC,"SK Shetty, AP Patil","International Journal of Grid and High Performance Computing (IJGHPC) 15 (2 …, 2023",2023,11,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13691931980920851602,https://serpapi.com/search.json?cites=13691931980920851602&engine=google_scholar&hl=en,13691931980920851602
Multiplayer online car racing with BCI in VR,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S0rWhnMAAAAJ&pagesize=100&citation_for_view=S0rWhnMAAAAJ:HE397vMXCloC,S0rWhnMAAAAJ:HE397vMXCloC,"RR Subramanian, KY Varma, K Balaji, MD Reddy, A Akash, KN Reddy","2021 5th International Conference on Intelligent Computing and Control …, 2021",2021,11,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3103789970935050659,https://serpapi.com/search.json?cites=3103789970935050659&engine=google_scholar&hl=en,3103789970935050659
Speech enabled visual question answering using lstm and cnn with real time image capturing for assisting the visually impaired,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S0rWhnMAAAAJ&pagesize=100&citation_for_view=S0rWhnMAAAAJ:ODE9OILHJdcC,S0rWhnMAAAAJ:ODE9OILHJdcC,"AP Patil, A Behera, P Anusha, M Seth","TENCON 2019-2019 IEEE Region 10 Conference (TENCON), 2475-2480, 2019",2019,11,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15066550549232509948,https://serpapi.com/search.json?cites=15066550549232509948&engine=google_scholar&hl=en,15066550549232509948
